Date,Open,High,Low,Close
2024-02-01,2040.20,2064.50,2029.00,2053.00
2024-02-02,2054.80,2055.90,2027.70,2036.10
2024-02-05,2038.90,2040.80,2013.80,2025.70
2024-02-06,2025.90,2037.30,2025.90,2034.50
2024-02-07,2032.80,2039.50,2032.70,2035.20
2024-02-08,2028.00,2036.70,2020.30,2032.20
2024-02-09,2032.00,2032.00,2020.00,2023.30
2024-02-12,2025.50,2025.50,2011.60,2018.20
2024-02-13,2025.10,2025.80,1990.00,1992.90
2024-02-14,1990.30,1993.50,1984.80,1990.30
2024-02-15,1993.60,2007.20,1993.60,2002.10
2024-02-16,2005.00,2011.50,1996.50,2011.50
2024-02-20,2015.60,2029.00,2015.60,2027.50
2024-02-21,2028.20,2028.20,2022.30,2022.30
2024-02-22,2033.20,2033.20,2019.70,2019.70
2024-02-23,2026.00,2038.60,2014.90,2038.60
2024-02-26,2034.10,2035.40,2024.80,2028.50
2024-02-27,2035.90,2035.90,2034.00,2034.00
2024-02-28,2029.50,2037.00,2024.80,2033.00
2024-02-29,2034.30,2049.80,2034.30,2045.70
2024-03-01,2043.10,2086.90,2041.80,2086.90
2024-03-04,2083.60,2119.80,2080.70,2117.70
2024-03-05,2114.90,2133.50,2111.40,2133.50
2024-03-06,2125.50,2150.30,2125.50,2150.30
2024-03-07,2147.00,2163.00,2147.00,2158.00
2024-03-08,2167.30,2194.90,2166.30,2178.60
2024-03-11,2181.00,2184.00,2177.20,2182.50
2024-03-12,2182.50,2182.70,2160.40,2160.40
2024-03-13,2162.50,2175.40,2162.50,2175.40
2024-03-14,2163.00,2163.00,2162.30,2163.00
2024-03-15,2161.70,2161.70,2157.30,2157.30
2024-03-18,2146.20,2160.70,2146.20,2160.70
2024-03-19,2156.10,2156.30,2156.10,2156.30
2024-03-20,2157.30,2185.90,2150.90,2157.90
2024-03-21,2207.00,2211.60,2182.40,2182.40
2024-03-22,2179.20,2179.60,2157.50,2158.10
2024-03-25,2166.20,2179.40,2166.20,2174.80
2024-03-26,2182.70,2182.70,2175.60,2175.60
2024-03-27,2179.40,2196.20,2172.10,2190.60
2024-03-28,2193.60,2234.10,2187.10,2217.40
2024-04-01,2235.70,2264.20,2230.00,2236.50
2024-04-02,2252.00,2279.20,2247.60,2261.00
2024-04-03,2281.70,2298.80,2267.90,2294.40
2024-04-04,2301.70,2302.90,2280.00,2288.80
2024-04-05,2289.20,2328.40,2267.40,2325.70
2024-04-08,2325.60,2341.80,2319.00,2331.70
2024-04-09,2337.80,2364.70,2337.80,2343.50
2024-04-10,2346.60,2358.10,2327.70,2329.60
2024-04-11,2341.50,2376.30,2330.60,2354.80
2024-04-12,2377.30,2429.00,2334.30,2356.20
2024-04-15,2362.10,2384.70,2326.00,2365.80
2024-04-16,2384.00,2390.80,2371.40,2390.80
2024-04-17,2384.20,2391.40,2369.30,2371.70
2024-04-18,2368.40,2384.40,2368.40,2382.30
2024-04-19,2379.30,2399.80,2377.30,2398.40
2024-04-22,2383.30,2383.30,2326.90,2332.20
2024-04-23,2327.70,2330.80,2294.20,2327.70
2024-04-24,2321.30,2328.70,2314.60,2324.50
